data;indice;indice_ajus
01/2003;99,57;100,82
02/2003;94,15;99,95
03/2003;93,39;98,68
04/2003;94,07;98,98
05/2003;93,70;97,99
06/2003;92,84;99,03
07/2003;94,85;98,35
08/2003;97,02;98,25
09/2003;103,50;98,50
10/2003;105,99;97,83
11/2003;104,67;97,91
12/2003;112,23;98,80
01/2004;97,65;99,03
02/2004;93,36;99,17
03/2004;96,62;100,09
04/2004;95,69;100,77
05/2004;96,80;101,80
06/2004;96,25;101,90
07/2004;97,62;101,41
08/2004;101,88;103,05
09/2004;108,31;103,96
10/2004;111,78;104,41
11/2004;109,82;102,75
12/2004;120,82;106,35
01/2005;102,64;104,75
02/2005;98,35;105,70
03/2005;101,81;105,93
04/2005;100,55;105,32
05/2005;101,53;106,53
06/2005;100,77;106,34
07/2005;102,32;106,89
08/2005;107,11;107,76
09/2005;111,46;106,68
10/2005;114,60;106,94
11/2005;115,65;108,26
12/2005;123,39;108,50
01/2006;107,07;108,59
02/2006;101,63;108,93
03/2006;105,41;109,13
04/2006;104,07;110,52
05/2006;105,19;109,76
06/2006;104,48;110,56
07/2006;106,85;111,92
08/2006;111,39;111,94
09/2006;117,68;112,68
10/2006;122,48;113,97
11/2006;121,75;114,07
12/2006;128,73;114,59
01/2007;112,18;113,73
02/2007;106,29;114,10
03/2007;110,39;113,87
04/2007;109,22;115,64
05/2007;111,68;116,71
06/2007;110,64;117,05
07/2007;111,71;116,83
08/2007;116,68;117,23
09/2007;121,96;117,56
10/2007;128,78;119,43
11/2007;127,52;119,62
12/2007;136,56;122,45
01/2008;119,61;121,52
02/2008;115,45;121,52
03/2008;117,11;122,07
04/2008;115,64;120,91
05/2008;116,28;122,01
06/2008;115,70;122,23
07/2008;117,90;122,77
08/2008;122,63;123,91
09/2008;130,62;124,16
10/2008;133,43;123,16
11/2008;130,61;122,76
12/2008;137,87;122,93
01/2009;122,61;124,57
02/2009;115,60;123,44
03/2009;120,15;123,80
04/2009;118,24;124,85
05/2009;118,93;124,76
06/2009;119,88;126,16
07/2009;121,10;126,22
08/2009;127,31;128,84
09/2009;135,15;129,05
10/2009;138,15;128,47
11/2009;138,25;130,30
12/2009;145,82;130,72
01/2010;128,28;131,01
02/2010;125,86;133,96
03/2010;132,65;135,64
04/2010;127,64;134,30
05/2010;129,70;135,61
06/2010;128,53;134,95
07/2010;130,67;136,26
08/2010;135,83;137,13
09/2010;143,26;137,61
10/2010;148,30;139,31
11/2010;148,09;140,00
12/2010;156,09;140,27
01/2011;136,36;138,96
02/2011;134,19;140,69
03/2011;136,76;141,05
04/2011;134,15;141,02
05/2011;136,36;141,17
06/2011;136,02;142,92
07/2011;137,14;143,50
08/2011;142,81;143,54
09/2011;151,10;145,25
10/2011;154,74;145,75
11/2011;153,40;145,42
12/2011;162,23;145,87
01/2012;144,72;146,16
02/2012;141,54;147,38
03/2012;144,41;147,10
04/2012;139,89;147,46
05/2012;143,47;148,29
06/2012;142,48;149,47
07/2012;142,26;148,35
08/2012;148,18;149,08
09/2012;150,82;146,81
10/2012;159,50;149,60
11/2012;158,10;150,27
12/2012;164,96;150,84
01/2013;151,43;152,71
02/2013;143,23;151,46
03/2013;147,70;151,80
04/2013;147,04;152,11
05/2013;147,28;152,43
06/2013;144,06;151,15
07/2013;146,74;151,91
08/2013;151,10;152,17
09/2013;154,03;150,06
10/2013;161,62;151,44
11/2013;159,51;151,88
12/2013;167,97;153,52
01/2014;156,34;156,92
02/2014;148,23;155,07
03/2014;149,73;154,83
04/2014;148,10;154,54
05/2014;149,60;154,07
06/2014;143,27;150,78
07/2014;146,03;150,78
08/2014;150,25;151,90
09/2014;156,74;151,37
10/2014;161,26;150,67
11/2014;159,33;151,77
12/2014;166,22;151,76
01/2015;154,83;155,30
02/2015;145,53;154,21
03/2015;148,63;151,56
04/2015;141,38;147,97
05/2015;140,99;146,04
06/2015;140,13;146,34
07/2015;140,78;145,12
08/2015;141,67;143,27
09/2015;146,12;141,80
10/2015;150,05;140,80
11/2015;149,48;142,25
12/2015;152,16;139,58
01/2016;138,08;139,35
02/2016;132,73;138,70
03/2016;136,47;139,57
04/2016;134,83;139,95
05/2016;135,02;139,53
06/2016;134,61;139,90
07/2016;136,10;140,93
08/2016;139,24;139,51
09/2016;143,56;139,30
10/2016;147,62;139,19
11/2016;145,93;138,64
12/2016;150,89;138,18
01/2017;139,52;140,01
02/2017;130,10;138,08
03/2017;137,03;140,13
04/2017;133,36;140,41
05/2017;136,27;139,99
06/2017;134,91;140,58
07/2017;135,60;140,51
08/2017;141,52;141,52
09/2017;145,95;141,46
10/2017;151,68;142,26
11/2017;150,42;142,69
12/2017;157,00;145,43
01/2018;141,34;142,03
02/2018;132,35;141,11
03/2018;137,73;141,99
04/2018;135,40;141,42
05/2018;133,98;138,38
06/2018;138,24;143,41
07/2018;140,06;144,75
08/2018;146,79;146,61
09/2018;150,47;146,62
10/2018;154,01;143,67
11/2018;150,91;142,98
12/2018;153,61;142,92
01/2019;141,71;142,99
02/2019;135,54;143,05
03/2019;136,67;142,74
04/2019;139,18;144,87
05/2019;140,18;143,67
06/2019;136,99;143,65
07/2019;139,03;142,95
08/2019;144,33;144,15
09/2019;149,69;145,24
10/2019;158,03;146,89
11/2019;154,85;146,63
12/2019;158,83;147,13
01/2020;145,57;146,97
02/2020;140,84;148,22
03/2020;136,46;140,99
04/2020;124,11;130,33
05/2020;128,27;132,21
06/2020;133,28;138,01
07/2020;134,75;139,45
